Sink Caller,Sink
java.io.Console_flush.meth,java.io.PrintWriter_flush
java.io.Console_format_java.lang.String_java.lang.Object_arr.meth,java.util.Formatter_flush
java.io.OutputStreamWriter_flush.meth,sun.nio.cs.StreamEncoder_flush
java.io.OutputStreamWriter_flushBuffer.meth,sun.nio.cs.StreamEncoder_flushBuffer
java.io.OutputStreamWriter_write_char_arr_int_int.meth,sun.nio.cs.StreamEncoder_write_char_arr_int_int
java.io.OutputStreamWriter_write_int.meth,sun.nio.cs.StreamEncoder_write_int
java.io.OutputStreamWriter_write_java.lang.String_int_int.meth,sun.nio.cs.StreamEncoder_write_java.lang.String_int_int
java.io.PrintStream_checkError.meth,java.io.PrintStream_flush
java.io.PrintWriter_checkError.meth,java.io.PrintWriter_flush
java.io.PrintWriter_print_char.meth,java.io.PrintWriter_write_int
java.io.Writer_write_java.lang.String.meth,java.io.Writer_write_java.lang.String_int_int
java.security.Provider_clear.meth,sun.security.util.Debug_println_java.lang.String
java.security.Provider_put_java.lang.Object_java.lang.Object.meth,sun.security.util.Debug_println_java.lang.String
java.security.Provider_remove_java.lang.Object.meth,sun.security.util.Debug_println_java.lang.String

